Order ID,Customer ID,Product Category,Product Name,Order Date,Ship Date,Sales,Quantity,Discount,Profit,Region
ORD100086,CUST1387,Books,Novel,2024-05-16,2024-05-18,111.5,2,0.3,33.45,West
ORD100087,CUST1001,Electronics,Laptop,2024-08-16,2024-08-22,3039.1,5,0.0,919.09,North
ORD100088,CUST1389,Clothing,Jacket,2024-07-02,2024-07-05,210.16,4,0.0,83.97,North
ORD100089,CUST1053,Electronics,Laptop,2024-11-08,2024-11-11,887.19,1,0.2,158.36,North
ORD100090,CUST1105,Clothing,T-Shirt,2024-08-28,2024-08-30,30.96,3,0.0,9.97,North
ORD100091,CUST1259,Home & Kitchen,Cookware Set,2024-02-29,2024-03-06,970.55,5,0.1,271.5,East
ORD100092,CUST1309,Electronics,Headphones,2024-01-26,2024-01-27,1230.66,3,0.1,307.4,South
ORD100093,CUST1476,Clothing,T-Shirt,2024-08-22,2024-08-25,276.96,2,0.15,114.28,South
ORD100094,CUST1190,Clothing,Sneakers,2024-01-10,2024-01-11,20.22,3,0.3,4.37,West
ORD100095,CUST1401,Beauty,Skincare Kit,2024-08-01,2024-08-03,205.71,3,0.3,3.65,East
ORD100096,CUST1217,Beauty,Makeup Set,2024-12-09,2024-12-13,270.54,3,0.0,146.96,North
ORD100097,CUST1043,Electronics,Camera,2024-07-29,2024-08-03,1174.34,2,0.15,292.81,North
ORD100098,CUST1161,Books,Guide,2024-05-21,2024-05-29,9.7,1,0.1,4.48,Central
ORD100099,CUST1201,Clothing,Jeans,2024-08-22,2024-08-24,584.04,4,0.1,229.25,Central
ORD100100,CUST1445,Clothing,Sneakers,2024-06-16,2024-06-18,560.77,7,0.0,329.56,West
ORD100101,CUST1483,Books,Guide,2024-07-18,2024-07-22,77.56,2,0.1,39.01,North
ORD100102,CUST1269,Beauty,Skincare Kit,2024-12-09,2024-12-09,96.63,3,0.3,15.42,West
ORD100103,CUST1350,Beauty,Skincare Kit,2024-05-20,2024-05-24,181.8,3,0.2,46.7,East
ORD100104,CUST1303,Home & Kitchen,Lamp,2024-12-16,2024-12-19,528.69,3,0.05,198.37,South
ORD100105,CUST1270,Clothing,Jacket,2024-11-26,2024-12-02,47.58,3,0.0,21.1,North
ORD100106,CUST1455,Books,Novel,2024-03-12,2024-03-14,32.52,3,0.0,13.34,East
ORD100107,CUST1461,Clothing,Sneakers,2024-01-26,2024-01-28,252.86,2,0.15,80.39,North
ORD100108,CUST1214,Home & Kitchen,Lamp,2024-02-06,2024-02-09,510.05,5,0.1,183.42,Central
ORD100109,CUST1251,Clothing,Jacket,2024-01-07,2024-01-13,133.08,4,0.05,61.86,West
ORD100110,CUST1189,Home & Kitchen,Lamp,2024-02-04,2024-02-04,205.93,1,0.0,80.27,Central
ORD100111,CUST1295,Electronics,Camera,2024-09-06,2024-09-10,2774.43,3,0.05,477.6,South
ORD100112,CUST1212,Electronics,Phone,2024-01-26,2024-01-30,251.16,3,0.05,84.94,Central
ORD100113,CUST1207,Beauty,Perfume,2024-04-26,2024-04-29,285.32,4,0.2,57.57,North
ORD100114,CUST1236,Electronics,Phone,2024-11-04,2024-11-08,303.72,2,0.1,104.38,Central
ORD100115,CUST1337,Home & Kitchen,Cookware Set,2024-01-09,2024-01-13,66.87,3,0.0,26.97,North
ORD100116,CUST1366,Electronics,Headphones,2024-10-24,2024-10-28,72.77,1,0.05,12.17,South
ORD100117,CUST1052,Electronics,Phone,2024-04-12,2024-04-13,4010.64,4,0.0,1397.23,Central
ORD100118,CUST1279,Electronics,Phone,2024-02-13,2024-02-18,601.56,4,0.3,-11.5,West
ORD100119,CUST1409,Electronics,Headphones,2024-09-11,2024-09-17,191.19,3,0.0,74.28,West
ORD100120,CUST1216,Beauty,Makeup Set,2024-08-17,2024-08-17,55.36,1,0.05,18.84,West
ORD100121,CUST1251,Clothing,Sneakers,2024-11-16,2024-11-20,509.52,4,0.0,296.39,Central
ORD100122,CUST1187,Beauty,Shampoo,2024-09-25,2024-09-27,105.54,3,0.1,26.56,Central
ORD100123,CUST1379,Home & Kitchen,Blender,2024-10-20,2024-10-22,866.55,5,0.1,329.84,Central
ORD100124,CUST1492,Clothing,Jacket,2024-04-12,2024-04-15,21.58,2,0.1,4.18,North
ORD100125,CUST1040,Home & Kitchen,Cookware Set,2024-03-05,2024-03-06,736.16,4,0.0,314.06,South
ORD100126,CUST1156,Home & Kitchen,Blender,2024-09-30,2024-10-01,703.26,3,0.0,208.91,West
ORD100127,CUST1014,Books,Comics,2024-10-21,2024-10-26,182.0,5,0.0,109.97,North
ORD100128,CUST1300,Clothing,Jacket,2024-12-27,2024-12-27,53.2,1,0.1,9.73,West
ORD100129,CUST1064,Clothing,Jacket,2024-05-30,2024-06-01,152.25,3,0.0,84.6,North
ORD100130,CUST1344,Beauty,Skincare Kit,2024-05-15,2024-05-18,34.52,2,0.05,18.55,Central
ORD100131,CUST1326,Beauty,Skincare Kit,2024-10-10,2024-10-12,94.36,2,0.15,30.9,West
ORD100132,CUST1008,Beauty,Shampoo,2024-05-04,2024-05-06,32.88,2,0.2,13.85,Central
ORD100133,CUST1343,Clothing,Sneakers,2024-12-05,2024-12-06,116.16,1,0.05,55.92,West
ORD100134,CUST1128,Books,Comics,2024-11-09,2024-11-10,116.3,2,0.05,42.66,East
ORD100135,CUST1491,Clothing,Jacket,2024-06-05,2024-06-08,436.98,3,0.0,112.84,North
ORD100136,CUST1135,Clothing,Jeans,2024-10-01,2024-10-02,521.76,4,0.1,192.17,East
ORD100137,CUST1471,Electronics,Camera,2024-10-02,2024-10-04,4349.64,6,0.15,100.1,North
ORD100138,CUST1062,Home & Kitchen,Vacuum,2024-02-07,2024-02-07,1130.96,4,0.0,406.37,South
ORD100139,CUST1138,Electronics,Camera,2024-11-25,2024-11-26,1048.17,3,0.05,334.45,West
ORD100140,CUST1498,Clothing,Sneakers,2024-07-03,2024-07-10,482.3,5,0.15,98.47,South
ORD100141,CUST1080,Beauty,Makeup Set,2024-10-28,2024-11-03,229.6,4,0.2,50.37,South
ORD100142,CUST1391,Electronics,Headphones,2024-04-26,2024-04-27,1750.8,3,0.0,268.33,North
ORD100143,CUST1162,Electronics,Laptop,2024-11-22,2024-11-23,1823.5,2,0.05,584.4,East
ORD100144,CUST1418,Electronics,Laptop,2024-05-22,2024-05-26,690.96,2,0.0,171.62,Central
ORD100145,CUST1288,Beauty,Shampoo,2024-01-04,2024-01-09,207.85,5,0.0,131.32,North
ORD100146,CUST1378,Home & Kitchen,Vacuum,2024-11-26,2024-12-01,2222.76,6,0.2,689.56,Central
ORD100147,CUST1260,Clothing,Jeans,2024-02-03,2024-02-03,26.3,2,0.15,11.8,South
ORD100148,CUST1489,Books,Comics,2024-04-26,2024-05-01,126.84,4,0.15,31.73,Central
ORD100149,CUST1230,Books,Textbook,2024-12-12,2024-12-15,165.6,3,0.0,76.06,East
ORD100150,CUST1040,Clothing,Jeans,2024-12-12,2024-12-19,187.0,2,0.15,32.66,North
ORD100151,CUST1027,Home & Kitchen,Lamp,2024-07-28,2024-07-31,666.57,3,0.05,214.36,East
ORD100152,CUST1134,Books,Novel,2024-08-18,2024-08-21,37.48,2,0.0,22.86,East
ORD100153,CUST1200,Home & Kitchen,Blender,2024-06-12,2024-06-15,427.68,3,0.05,191.2,North
ORD100154,CUST1327,Electronics,Camera,2024-04-17,2024-04-21,2047.88,2,0.0,746.65,East
ORD100155,CUST1267,Beauty,Makeup Set,2024-04-29,2024-05-03,69.31,1,0.15,25.53,West
ORD100156,CUST1417,Home & Kitchen,Lamp,2024-09-02,2024-09-05,629.34,3,0.05,148.08,West
ORD100157,CUST1032,Clothing,Jeans,2024-10-01,2024-10-04,38.88,2,0.0,15.98,West
ORD100158,CUST1047,Clothing,T-Shirt,2024-10-15,2024-10-18,21.96,3,0.0,12.58,Central
ORD100159,CUST1406,Electronics,Camera,2024-10-15,2024-10-17,4627.16,4,0.0,2057.2,East
ORD100160,CUST1061,Electronics,Laptop,2024-02-03,2024-02-07,458.61,1,0.0,192.3,North
ORD100161,CUST1215,Books,Guide,2024-06-29,2024-06-30,38.18,1,0.05,20.11,North
ORD100162,CUST1292,Electronics,Phone,2024-01-22,2024-01-22,314.58,3,0.15,6.3,Central
ORD100163,CUST1098,Clothing,Sneakers,2024-07-19,2024-07-26,208.1,2,0.0,78.43,North
ORD100164,CUST1171,Home & Kitchen,Lamp,2024-06-10,2024-06-11,1120.71,3,0.0,301.88,West
ORD100165,CUST1359,Electronics,Phone,2024-11-20,2024-11-21,2780.16,4,0.05,723.08,East
ORD100166,CUST1213,Beauty,Skincare Kit,2024-05-08,2024-05-09,58.5,3,0.15,21.84,North
ORD100167,CUST1474,Electronics,Headphones,2024-02-12,2024-02-15,2809.0,4,0.0,1172.7,North
ORD100168,CUST1034,Clothing,T-Shirt,2024-02-22,2024-02-23,464.48,4,0.0,136.29,South
ORD100169,CUST1448,Clothing,Sneakers,2024-10-04,2024-10-07,255.72,4,0.05,70.55,South
ORD100170,CUST1226,Electronics,Phone,2024-08-13,2024-08-19,3171.03,3,0.0,1267.03,South
ORD100171,CUST1100,Electronics,Headphones,2024-02-06,2024-02-07,781.93,1,0.0,231.7,East
ORD100172,CUST1430,Books,Comics,2024-01-31,2024-02-02,163.38,3,0.1,74.14,West
ORD100173,CUST1461,Beauty,Shampoo,2024-09-12,2024-09-15,230.1,3,0.1,76.21,West
ORD100174,CUST1130,Electronics,Headphones,2024-01-27,2024-01-30,498.69,3,0.05,57.92,West
ORD100175,CUST1256,Home & Kitchen,Lamp,2024-10-26,2024-11-02,517.6,4,0.1,127.89,East
ORD100176,CUST1004,Books,Novel,2024-09-14,2024-09-19,32.2,2,0.1,14.1,East
ORD100177,CUST1217,Books,Comics,2024-01-30,2024-02-01,164.97,3,0.0,112.99,South
ORD100178,CUST1254,Clothing,T-Shirt,2024-01-31,2024-02-01,115.26,1,0.0,66.62,North
ORD100179,CUST1397,Clothing,Jacket,2024-12-26,2025-01-02,103.08,1,0.0,55.09,Central
ORD100180,CUST1358,Clothing,Sneakers,2024-05-16,2024-05-21,145.92,3,0.0,85.89,Central
ORD100181,CUST1282,Books,Guide,2024-05-15,2024-05-18,60.48,4,0.1,22.8,North
ORD100182,CUST1392,Books,Novel,2024-10-23,2024-10-25,93.2,2,0.15,31.04,South
ORD100183,CUST1206,Electronics,Laptop,2024-12-11,2024-12-14,1148.5,2,0.3,125.4,North
ORD100184,CUST1014,Clothing,Jacket,2024-12-25,2024-12-27,188.7,5,0.1,39.13,North
ORD100185,CUST1345,Beauty,Shampoo,2024-10-01,2024-10-05,151.82,2,0.0,90.46,Central
ORD100186,CUST1041,Books,Novel,2024-05-17,2024-05-20,21.66,3,0.0,13.2,South
ORD100187,CUST1379,Beauty,Makeup Set,2024-01-31,2024-02-03,42.51,1,0.15,17.55,East
ORD100188,CUST1460,Books,Guide,2024-10-10,2024-10-16,153.85,5,0.05,82.82,Central
ORD100189,CUST1178,Clothing,Jeans,2024-07-22,2024-07-23,105.8,4,0.1,43.47,East
ORD100190,CUST1062,Home & Kitchen,Blender,2024-06-03,2024-06-07,1181.94,3,0.15,270.51,South
ORD100191,CUST1351,Home & Kitchen,Cookware Set,2024-11-26,2024-11-28,269.91,3,0.1,82.97,North
ORD100192,CUST1230,Electronics,Phone,2024-02-10,2024-02-12,660.48,4,0.15,2.66,West
ORD100193,CUST1240,Home & Kitchen,Lamp,2024-06-28,2024-07-01,351.16,4,0.0,186.26,West
ORD100194,CUST1051,Books,Comics,2024-01-05,2024-01-08,94.6,2,0.1,52.72,South
ORD100195,CUST1095,Electronics,Laptop,2024-06-20,2024-06-21,2065.4,4,0.15,586.89,West
ORD100196,CUST1387,Books,Comics,2024-01-21,2024-01-24,144.4,4,0.0,73.97,East
ORD100197,CUST1221,Home & Kitchen,Blender,2024-02-13,2024-02-15,16.24,1,0.1,7.0,West
ORD100198,CUST1484,Beauty,Shampoo,2024-02-12,2024-02-16,44.8,5,0.0,16.0,South
ORD100199,CUST1406,Electronics,Headphones,2024-08-24,2024-08-30,2702.65,5,0.3,-9.67,South
ORD100200,CUST1230,Clothing,Sneakers,2024-09-29,2024-10-04,370.26,3,0.0,153.86,East
ORD100201,CUST1236,Home & Kitchen,Cookware Set,2024-07-31,2024-08-05,1065.03,3,0.05,323.18,West
ORD100202,CUST1142,Clothing,T-Shirt,2024-12-17,2024-12-20,52.71,3,0.0,28.47,West
ORD100203,CUST1170,Books,Novel,2024-05-16,2024-05-19,34.61,1,0.1,18.71,North
ORD100204,CUST1028,Books,Textbook,2024-04-14,2024-04-14,165.69,3,0.0,100.14,Central
ORD100205,CUST1035,Electronics,Headphones,2024-11-13,2024-11-16,1415.07,3,0.0,384.83,South
ORD100206,CUST1012,Home & Kitchen,Cookware Set,2024-03-22,2024-03-26,1332.76,4,0.05,568.37,North
ORD100207,CUST1159,Home & Kitchen,Lamp,2024-12-17,2024-12-23,60.41,1,0.2,18.69,South
ORD100208,CUST1326,Clothing,Jeans,2024-01-05,2024-01-07,281.26,2,0.0,73.26,North
ORD100209,CUST1186,Beauty,Perfume,2024-12-20,2024-12-21,365.64,4,0.0,234.85,Central
ORD100210,CUST1242,Books,Novel,2024-01-16,2024-01-18,227.08,4,0.15,70.21,North
ORD100211,CUST1085,Home & Kitchen,Vacuum,2024-11-21,2024-11-23,1366.15,5,0.05,306.27,South
ORD100212,CUST1283,Books,Textbook,2024-07-11,2024-07-12,24.99,1,0.2,10.26,West
ORD100213,CUST1065,Clothing,Sneakers,2024-12-28,2024-12-30,564.16,4,0.0,311.72,South
ORD100214,CUST1169,Beauty,Shampoo,2024-01-27,2024-02-01,73.38,2,0.1,36.62,East
ORD100215,CUST1044,Home & Kitchen,Lamp,2024-07-21,2024-07-27,414.63,3,0.0,126.83,East
ORD100216,CUST1061,Books,Comics,2024-12-19,2024-12-23,261.24,6,0.0,132.49,East
ORD100217,CUST1440,Beauty,Perfume,2024-07-09,2024-07-11,93.01,1,0.1,25.68,East
ORD100218,CUST1133,Clothing,Sneakers,2024-08-17,2024-08-22,279.52,2,0.05,62.02,Central
ORD100219,CUST1283,Books,Novel,2024-09-10,2024-09-14,65.04,4,0.15,22.27,West
ORD100220,CUST1027,Electronics,Laptop,2024-06-14,2024-06-17,3838.48,4,0.0,1547.85,West
ORD100221,CUST1107,Clothing,Jeans,2024-08-17,2024-08-21,224.18,2,0.05,104.2,South
ORD100222,CUST1043,Clothing,Jeans,2024-08-01,2024-08-01,14.25,1,0.05,3.64,North
ORD100223,CUST1339,Beauty,Skincare Kit,2024-11-24,2024-11-26,198.12,4,0.3,54.82,South
ORD100224,CUST1285,Beauty,Shampoo,2024-01-17,2024-01-19,150.08,4,0.0,93.74,South
ORD100225,CUST1445,Books,Textbook,2024-04-12,2024-04-15,21.75,1,0.0,10.64,South
ORD100226,CUST1330,Books,Guide,2024-12-12,2024-12-17,177.18,3,0.0,102.63,South
ORD100227,CUST1127,Home & Kitchen,Vacuum,2024-11-20,2024-11-23,259.97,1,0.05,46.27,West
ORD100228,CUST1347,Beauty,Makeup Set,2024-06-15,2024-06-20,437.65,5,0.0,184.87,North
ORD100229,CUST1472,Clothing,Sneakers,2024-08-14,2024-08-16,146.61,1,0.2,54.01,South
ORD100230,CUST1230,Clothing,T-Shirt,2024-04-11,2024-04-15,179.07,3,0.0,48.04,West
ORD100231,CUST1189,Electronics,Headphones,2024-03-09,2024-03-14,1928.38,2,0.2,332.51,South
ORD100232,CUST1224,Books,Textbook,2024-06-18,2024-06-20,28.9,1,0.0,17.31,East
ORD100233,CUST1384,Books,Textbook,2024-05-08,2024-05-09,105.64,2,0.1,50.64,South
ORD100234,CUST1376,Clothing,Sneakers,2024-08-01,2024-08-01,93.6,3,0.2,35.76,South
ORD100235,CUST1282,Electronics,Laptop,2024-01-29,2024-02-02,6826.5,6,0.0,2055.09,Central
ORD100236,CUST1445,Books,Textbook,2024-12-21,2024-12-24,34.06,2,0.3,12.36,East
ORD100237,CUST1120,Electronics,Laptop,2024-12-25,2024-12-29,1592.8,4,0.05,445.52,North
ORD100238,CUST1115,Books,Textbook,2024-09-11,2024-09-12,93.18,2,0.2,36.78,South
ORD100239,CUST1460,Beauty,Skincare Kit,2024-07-14,2024-07-15,301.68,6,0.1,84.32,North
ORD100240,CUST1232,Clothing,Sneakers,2024-04-22,2024-04-24,279.57,3,0.0,89.15,East
ORD100241,CUST1258,Electronics,Phone,2024-10-24,2024-10-26,539.04,1,0.0,217.76,South
ORD100242,CUST1358,Books,Guide,2024-09-06,2024-09-07,91.66,2,0.0,54.08,Central
ORD100243,CUST1197,Books,Textbook,2024-02-29,2024-03-02,52.68,3,0.0,30.98,West
ORD100244,CUST1455,Home & Kitchen,Cookware Set,2024-11-28,2024-12-03,30.92,1,0.0,15.37,Central
ORD100245,CUST1410,Beauty,Perfume,2024-10-27,2024-10-29,78.98,2,0.0,29.27,Central
ORD100246,CUST1136,Electronics,Laptop,2024-12-12,2024-12-15,2297.72,4,0.05,431.58,West
ORD100247,CUST1317,Home & Kitchen,Vacuum,2024-09-21,2024-09-25,73.86,1,0.15,24.62,West
ORD100248,CUST1164,Books,Textbook,2024-08-11,2024-08-13,24.51,1,0.0,14.46,West
ORD100249,CUST1224,Beauty,Makeup Set,2024-06-01,2024-06-03,153.0,3,0.0,93.78,South
ORD100250,CUST1306,Electronics,Headphones,2024-12-06,2024-12-08,234.9,3,0.1,37.95,North
ORD100251,CUST1233,Books,Novel,2024-11-12,2024-11-17,111.24,3,0.0,73.82,North
ORD100252,CUST1171,Home & Kitchen,Blender,2024-01-17,2024-01-20,1773.3,5,0.0,363.39,West
ORD100253,CUST1151,Clothing,Jeans,2024-01-10,2024-01-12,108.0,4,0.0,35.29,Central
ORD100254,CUST1462,Electronics,Phone,2024-05-17,2024-05-21,1442.78,2,0.2,191.78,East
ORD100255,CUST1314,Beauty,Shampoo,2024-10-22,2024-10-29,325.8,4,0.15,96.93,West
ORD100256,CUST1373,Electronics,Camera,2024-12-26,2024-12-27,1018.02,2,0.0,179.78,Central
ORD100257,CUST1159,Clothing,T-Shirt,2024-02-24,2024-03-02,426.64,4,0.1,130.58,Central
ORD100258,CUST1095,Clothing,Jeans,2024-08-04,2024-08-07,258.24,4,0.05,126.26,South
ORD100259,CUST1471,Beauty,Skincare Kit,2024-05-19,2024-05-20,189.09,3,0.1,78.94,South
ORD100260,CUST1232,Home & Kitchen,Blender,2024-12-20,2024-12-22,43.52,4,0.1,6.74,North
ORD100261,CUST1179,Books,Comics,2024-11-03,2024-11-04,129.12,3,0.1,52.52,North
